episode_id,match_id,competition_name,season_name,period,possession_id,counterpressing_team,counterpressing_team_id,possession_team,possession_team_id,possession_origin_pattern,play_pattern,turnover_context,is_open_play,turnover_event_id,turnover_event_type,turnover_timestamp,turnover_seconds,turnover_location,turnover_link_quality,initiation_event_id,initiation_event_type,initiation_timestamp,initiation_seconds,initiation_location,initiation_player_id,initiation_player_name,delay_seconds,latency_valid,num_counterpress_actions,all_counterpress_event_ids,has_initiation_360,opponent_team_at_turnover,possession_team_at_counterpress_initiation,possession_id_at_counterpress_initiation,regain_5s_controlled,regain_3s_controlled,regain_8s_controlled,controlled_acquisition_time,controlled_control_time,controlled_regain_time,controlled_regain_event_id,controlled_regain_event_type,controlled_regain_evidence,regain_5s,regain_3s,regain_8s,seconds_to_regain,regain_event_id,regain_5s_controlled_v26,regain_5s_possession_annotation,regain_3s_possession_annotation,regain_8s_possession_annotation,seconds_to_regain_annotation,regain_event_id_annotation,dangerous_escape_15s,shot_15s,final_third_entry_15s,started_in_final_third,opponent_initial_x,opponent_max_progression_15s,time_to_shot,time_to_final_third_entry,episode_outcome_3class,episode_outcome_3class_old,is_primary_cohort,primary_cohort_eligible
3895320_p25_6fe4aa5a,3895320,1. Bundesliga,2023/2024,1,25,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,a9c7bf5c-d1af-42a1-bc45-5026d773c3b3,Pass,00:12:49.308,769.308,"[29.8, 55.3]",high,6fe4aa5a-0a19-431b-a955-22d7785309a4,Pressure,00:12:50.728,770.728,"[99.5, 29.0]",9102,Serhou Guirassy,1.42,True,2,"['6fe4aa5a-0a19-431b-a955-22d7785309a4', '4ba1d361-45f4-4cee-9c1d-0688c30f9d1f']",True,Bayer Leverkusen,Bayer Leverkusen,25,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,0,0,0,False,29.8,55.8,,,harmless_escape,harmless_escape,True,True
3895320_p26_a37b38df,3895320,1. Bundesliga,2023/2024,1,26,VfB Stuttgart,174,VfB Stuttgart,174,Regular Play,Regular Play,open_play,True,f0f5508c-8831-4a47-ae46-b5056f513b7d,Dispossessed,00:13:10.793,790.793,"[55.3, 76.4]",high,a37b38df-c79a-42fa-9a1c-bfaa62eb50f8,Duel,00:13:10.793,790.793,"[64.8, 3.7]",12407,Maximilian Mittelstädt,0.0,True,1,['a37b38df-c79a-42fa-9a1c-bfaa62eb50f8'],True,Bayer Leverkusen,VfB Stuttgart,26,1,1,1,0.702,0.702,0.702,43af0737-2c40-48af-b852-0c428ee08e84,Carry,ball_recovery_plus_carry,1,1,1,0.702,43af0737-2c40-48af-b852-0c428ee08e84,1,1,1,1,0.702,a8eb1fe0-36a7-4540-a784-4b833613ad57,0,0,0,False,,0.0,,,successful_regain,successful_regain,True,True
3895320_p28_6d6ad410,3895320,1. Bundesliga,2023/2024,1,28,Bayer Leverkusen,904,VfB Stuttgart,174,Regular Play,Regular Play,open_play,True,38bed595-a068-43f6-9b45-27b37f8dce42,Ball Recovery,00:13:59.803,839.803,"[48.0, 51.9]",high,6d6ad410-6bec-4b37-be90-1ed17d80a717,Pressure,00:14:03.828,843.828,"[98.4, 39.3]",32712,Jeremie Frimpong,4.025,True,1,['6d6ad410-6bec-4b37-be90-1ed17d80a717'],True,VfB Stuttgart,VfB Stuttgart,28,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,0,0,0,False,41.8,56.9,,,harmless_escape,harmless_escape,True,True
3895320_p29_ee563e28,3895320,1. Bundesliga,2023/2024,1,29,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,2fb5c682-6c51-4e7c-8200-126075a3f569,Ball Recovery,00:15:29.591,929.591,"[71.4, 44.5]",high,ee563e28-308d-45b7-bc48-fc01c01adfc9,Pressure,00:15:31.684,931.684,"[50.8, 26.9]",95272,Hiroki Ito,2.093,True,1,['ee563e28-308d-45b7-bc48-fc01c01adfc9'],True,Bayer Leverkusen,Bayer Leverkusen,29,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,1,0,1,False,71.4,98.9,,2.871,dangerous_escape,dangerous_escape,True,True
3895320_p32_510229c6,3895320,1. Bundesliga,2023/2024,1,32,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,9365cb2f-cc95-4537-9995-794b58aa9224,Ball Recovery,00:18:12.758,1092.758,"[12.3, 21.3]",high,510229c6-a358-4b14-8cca-b2d0db6f20d0,Pressure,00:18:15.882,1095.882,"[99.3, 73.7]",131243,Deniz Undav,3.124,True,1,['510229c6-a358-4b14-8cca-b2d0db6f20d0'],True,Bayer Leverkusen,Bayer Leverkusen,32,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,0,0,0,False,12.3,43.5,,,harmless_escape,harmless_escape,True,True
3895320_p37_5afd5a1a,3895320,1. Bundesliga,2023/2024,1,37,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,ebd3066a-a551-48a3-8dfd-ade16509bba4,Duel,00:20:56.403,1256.403,"[14.6, 19.8]",high,5afd5a1a-8bc0-4f10-89ca-8bd5cf44546d,Pressure,00:21:00.154,1260.154,"[105.4, 62.6]",28805,Jamie Leweling,3.751,True,1,['5afd5a1a-8bc0-4f10-89ca-8bd5cf44546d'],True,Bayer Leverkusen,Bayer Leverkusen,37,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,0,0,0,False,14.6,20.8,,,harmless_escape,harmless_escape,True,True
3895320_p39_9fc405e3,3895320,1. Bundesliga,2023/2024,1,39,Bayer Leverkusen,904,VfB Stuttgart,174,Regular Play,Regular Play,open_play,True,e88e85f4-387f-48e9-b0ff-2c09948758c8,Interception,00:21:30.978,1290.978,"[12.2, 50.1]",high,9fc405e3-e30d-4813-91b4-362e8357322b,Pressure,00:21:34.474,1294.474,"[81.1, 20.8]",9195,Robert Andrich,3.496,True,2,"['9fc405e3-e30d-4813-91b4-362e8357322b', 'fa8288e2-85ad-4d9a-9dc9-36b421647e75']",True,VfB Stuttgart,VfB Stuttgart,39,1,1,1,0.758,0.758,0.758,8a0bf40b-1681-4301-a470-5966d1706539,Carry,duel_plus_carry,1,1,1,0.758,8a0bf40b-1681-4301-a470-5966d1706539,1,0,0,0,,,0,0,0,False,29.7,43.2,,,successful_regain,harmless_escape,True,True
3895320_p39_ba21227e,3895320,1. Bundesliga,2023/2024,1,39,VfB Stuttgart,174,VfB Stuttgart,174,Regular Play,Regular Play,open_play,True,fa8288e2-85ad-4d9a-9dc9-36b421647e75,Duel,00:21:35.232,1295.232,"[76.9, 21.7]",high,ba21227e-fa74-48f4-8788-3e6cc9a49d52,Pressure,00:21:38.543,1298.543,"[34.0, 39.0]",23614,Chris Führich,3.311,True,3,"['ba21227e-fa74-48f4-8788-3e6cc9a49d52', 'a5eb89c4-57fd-4f2c-b175-3c54ab3985aa', 'eb46086a-926a-4937-a591-6265980bc347']",True,Bayer Leverkusen,VfB Stuttgart,39,1,1,1,0.983,0.983,0.983,920614e5-8880-4aa8-8b65-e1e3d4a699df,Carry,duel_plus_carry,1,1,1,0.983,920614e5-8880-4aa8-8b65-e1e3d4a699df,1,1,1,1,0.297,a5eb89c4-57fd-4f2c-b175-3c54ab3985aa,0,0,0,True,81.1,91.7,,,successful_regain,successful_regain,True,True
3895320_p40_714f5c03,3895320,1. Bundesliga,2023/2024,1,40,VfB Stuttgart,174,VfB Stuttgart,174,From Corner,From Corner,open_play,True,1e2a3000-2517-4ff6-9369-d63927ada2e9,Ball Recovery,00:22:55.130,1375.13,"[14.4, 26.5]",high,714f5c03-bb03-4375-bd3a-4d73b6279cfd,Pressure,00:22:56.828,1376.828,"[109.0, 62.1]",29227,Leonidas Stergiou,1.698,True,3,"['714f5c03-bb03-4375-bd3a-4d73b6279cfd', '86325628-8da2-4b7a-8b32-0ea474f37498', '03b5994a-4ad0-4add-a381-afa3ee8c6d9c']",True,Bayer Leverkusen,VfB Stuttgart,40,0,0,1,7.15,7.15,7.15,06e05890-ccf1-4189-afdb-6df94bae2e63,Carry,ball_recovery_plus_carry,0,0,1,7.15,06e05890-ccf1-4189-afdb-6df94bae2e63,0,1,0,1,3.2,b6ba9a2e-7cef-40ea-9000-4bf687115765,0,0,0,False,3.5,3.5,,,harmless_escape,successful_regain,True,True
3895320_p42_7429fec6,3895320,1. Bundesliga,2023/2024,1,42,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,7511d1a3-a9af-45a5-8d06-1f4218cd1c60,Ball Recovery,00:24:16.052,1456.052,"[69.5, 15.1]",high,7429fec6-2cc1-4705-b0ee-ffec978c44cf,Pressure,00:24:19.428,1459.428,"[43.3, 55.0]",131243,Deniz Undav,3.376,True,1,['7429fec6-2cc1-4705-b0ee-ffec978c44cf'],True,Bayer Leverkusen,Bayer Leverkusen,42,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,1,0,1,False,69.5,111.9,,1.18,dangerous_escape,dangerous_escape,True,True
3895320_p46_f6d249e0,3895320,1. Bundesliga,2023/2024,1,46,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,18ca80f3-767d-49df-90a2-f90e9bd913dd,Pass,00:26:59.275,1619.275,"[61.3, 54.6]",high,f6d249e0-3662-46be-9de7-20a96391119d,Interception,00:27:03.886,1623.886,"[56.0, 7.5]",23614,Chris Führich,4.611,True,1,['f6d249e0-3662-46be-9de7-20a96391119d'],True,Bayer Leverkusen,Bayer Leverkusen,46,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,0,0,0,False,61.3,73.6,,,harmless_escape,harmless_escape,True,True
3895320_p48_653bb31b,3895320,1. Bundesliga,2023/2024,1,48,Bayer Leverkusen,904,VfB Stuttgart,174,Regular Play,Regular Play,open_play,True,ce67af46-bf35-4078-82a1-38105a6ddca7,Pass,00:27:19.280,1639.28,"[35.9, 7.5]",high,653bb31b-e333-4f4c-9226-edd3eff1869f,Pressure,00:27:20.241,1640.241,"[79.7, 76.4]",32712,Jeremie Frimpong,0.961,True,2,"['653bb31b-e333-4f4c-9226-edd3eff1869f', '67b7aa68-d4d9-49e3-a998-99fa2d3984c3']",True,VfB Stuttgart,VfB Stuttgart,48,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,1,0,1,False,35.9,82.7,,9.818,dangerous_escape,dangerous_escape,True,True
3895320_p53_e7154cf7,3895320,1. Bundesliga,2023/2024,1,53,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,c5474d81-9acb-4915-84bd-ece285ffd08c,Pass,00:29:44.470,1784.47,"[42.5, 69.7]",high,e7154cf7-52b2-41de-9c17-c2ae32f2ed9c,Pressure,00:29:45.896,1785.896,"[63.1, 15.8]",20947,Atakan Karazor,1.426,True,3,"['e7154cf7-52b2-41de-9c17-c2ae32f2ed9c', 'af08dad7-1e79-46d6-b0c7-3800895290d7', 'b778d12a-0fe4-4ffb-9b34-b209f60a32a4']",True,Bayer Leverkusen,Bayer Leverkusen,53,0,0,0,9.719,9.719,9.719,daf2f23f-6bfd-449c-84fd-1a4c1151c264,Carry,ball_recovery_plus_carry,0,0,0,9.719,daf2f23f-6bfd-449c-84fd-1a4c1151c264,0,0,0,0,9.719,c9a9be3f-c341-43af-ac22-c19f5c0dc121,0,0,0,False,42.5,77.3,,,harmless_escape,harmless_escape,True,True
3895320_p54_56fe482f,3895320,1. Bundesliga,2023/2024,1,54,Bayer Leverkusen,904,VfB Stuttgart,174,Regular Play,Regular Play,open_play,True,c9a9be3f-c341-43af-ac22-c19f5c0dc121,Ball Recovery,00:29:55.615,1795.615,"[63.8, 38.7]",high,56fe482f-f32f-4e06-9275-224cb846d27c,Pressure,00:29:57.498,1797.498,"[59.4, 43.1]",33401,Amine Adli,1.883,True,1,['56fe482f-f32f-4e06-9275-224cb846d27c'],True,VfB Stuttgart,VfB Stuttgart,54,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,1,0,1,False,63.8,102.2,,2.528,dangerous_escape,dangerous_escape,True,True
3895320_p57_4038a4b4,3895320,1. Bundesliga,2023/2024,1,57,Bayer Leverkusen,904,VfB Stuttgart,174,Regular Play,Regular Play,open_play,True,9742d7c2-eba0-43d2-833c-380a19dc1be2,Pass,00:31:36.475,1896.475,"[63.8, 28.3]",high,4038a4b4-04b9-42f9-a29d-f4a864066fbf,Pressure,00:31:38.495,1898.495,"[49.2, 49.0]",33401,Amine Adli,2.02,True,2,"['4038a4b4-04b9-42f9-a29d-f4a864066fbf', '1924e072-6fc3-43bd-b67a-7a98dfa941de']",True,VfB Stuttgart,VfB Stuttgart,57,0,0,0,14.731,14.731,14.731,6e27637c-6ac7-4b3e-a923-77520557f5ee,Carry,duel_plus_carry,0,0,0,14.731,6e27637c-6ac7-4b3e-a923-77520557f5ee,0,0,0,0,,,1,0,1,False,63.8,90.1,,7.657,dangerous_escape,dangerous_escape,True,True
3895320_p57_d3580e56,3895320,1. Bundesliga,2023/2024,1,57,VfB Stuttgart,174,VfB Stuttgart,174,Regular Play,Regular Play,open_play,True,4d64cc2d-5700-4ea5-b8f7-ae9d9c544546,Duel,00:31:53.226,1913.226,"[35.4, 28.9]",high,d3580e56-6e18-4e95-b81b-49efe5c0e699,Interception,00:31:56.302,1916.302,"[61.7, 27.3]",12407,Maximilian Mittelstädt,3.076,True,1,['d3580e56-6e18-4e95-b81b-49efe5c0e699'],False,Bayer Leverkusen,VfB Stuttgart,57,1,1,1,0.0,0.0,0.0,eb9f4b13-ccdd-49f2-91a3-8f909c07d974,Carry,interception_plus_carry,1,1,1,0.0,eb9f4b13-ccdd-49f2-91a3-8f909c07d974,1,1,1,1,0.0,eb9f4b13-ccdd-49f2-91a3-8f909c07d974,0,0,0,False,49.2,49.2,,,successful_regain,successful_regain,True,False
3895320_p61_f95fbd31,3895320,1. Bundesliga,2023/2024,1,61,Bayer Leverkusen,904,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,0d32840b-bd30-44fe-8abb-52b11a128256,Dispossessed,00:33:46.298,2026.298,"[97.2, 35.4]",high,f95fbd31-c3b8-4423-b181-8ce8eb1b1957,Duel,00:33:46.298,2026.298,"[22.9, 44.7]",30606,Edmond Fayçal Tapsoba,0.0,True,1,['f95fbd31-c3b8-4423-b181-8ce8eb1b1957'],True,VfB Stuttgart,Bayer Leverkusen,61,1,1,1,1.262,1.262,1.262,98b86768-1520-4d63-8a64-bfbdf459bea9,Carry,ball_recovery_plus_carry,1,1,1,1.262,98b86768-1520-4d63-8a64-bfbdf459bea9,1,1,1,1,1.262,5d3fe9f5-4893-4c83-bee7-b1fed6c6c662,0,0,0,False,,0.0,,,successful_regain,successful_regain,True,True
3895320_p61_3c4711e4,3895320,1. Bundesliga,2023/2024,1,61,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,f95fbd31-c3b8-4423-b181-8ce8eb1b1957,Duel,00:33:46.298,2026.298,"[22.9, 44.7]",high,3c4711e4-c8e2-4084-b8e0-a60b0c58f77a,Pressure,00:33:47.728,2027.728,"[89.1, 38.0]",45115,Enzo Millot,1.43,True,2,"['3c4711e4-c8e2-4084-b8e0-a60b0c58f77a', 'e2d8d981-a53f-4603-88ed-a1e78dec73ea']",True,Bayer Leverkusen,Bayer Leverkusen,61,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,1,0,1,False,22.9,92.2,,13.837,dangerous_escape,dangerous_escape,True,True
3895320_p65_4d3e1be8,3895320,1. Bundesliga,2023/2024,1,65,Bayer Leverkusen,904,VfB Stuttgart,174,Regular Play,Regular Play,open_play,True,9ae4e995-2938-4d98-8831-47cebeda2e2d,Ball Recovery,00:34:29.226,2069.226,"[34.8, 27.9]",high,4d3e1be8-c0ec-4489-863e-f34c811d74ed,Duel,00:34:29.416,2069.416,"[85.3, 51.5]",8804,Jonas Hofmann,0.19,True,1,['4d3e1be8-c0ec-4489-863e-f34c811d74ed'],False,VfB Stuttgart,VfB Stuttgart,65,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,0,0,0,False,34.8,34.8,,,harmless_escape,harmless_escape,True,False
3895320_p67_391d22df,3895320,1. Bundesliga,2023/2024,1,67,Bayer Leverkusen,904,VfB Stuttgart,174,From Counter,From Counter,open_play,True,3700c469-a264-42d2-b7a2-fad358cf07c7,Pass,00:35:33.427,2133.427,"[43.5, 9.2]",high,391d22df-348d-4ab1-857a-76ac49e3cd7e,Pressure,00:35:37.078,2137.078,"[49.2, 70.0]",8804,Jonas Hofmann,3.651,True,2,"['391d22df-348d-4ab1-857a-76ac49e3cd7e', '49526424-9d55-4b44-89bc-117816144484']",True,VfB Stuttgart,VfB Stuttgart,67,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,0,0,0,False,43.5,70.9,,,harmless_escape,harmless_escape,True,True
3895320_p69_21ce9870,3895320,1. Bundesliga,2023/2024,1,69,VfB Stuttgart,174,Bayer Leverkusen,904,Regular Play,Regular Play,open_play,True,656cff17-c03b-432d-9119-7bcc5a7e23c9,Pass,00:35:54.057,2154.057,"[37.6, 71.2]",high,21ce9870-8618-4f53-86ed-2688b67ff830,Pressure,00:35:57.122,2157.122,"[63.6, 6.5]",12407,Maximilian Mittelstädt,3.065,True,2,"['21ce9870-8618-4f53-86ed-2688b67ff830', '7289fed3-311a-4d24-94f2-e4832a714c12']",True,Bayer Leverkusen,Bayer Leverkusen,69,0,0,0,,,,,,,0,0,0,,,0,0,0,0,,,0,0,0,False,37.6,54.8,,,harmless_escape,harmless_escape,True,True
