episode_id,match_id,competition_name,delay_seconds,delay_bin,initiation_event_type,turnover_event_type,counterpressing_team,possession_team,primary_cause,cause_description,intervening_events_count,turnover_link_quality,latency_valid
3895134_p111_e9d2bf4a,3895134,1. Bundesliga,5.768,5.0-6.0 sec,Interception,Interception,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,8,ambiguous,False
3895134_p154_2311ca32,3895134,1. Bundesliga,6.289,6.0-8.0 sec,Interception,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,9,invalid,False
3895220_p3_b82515b0,3895220,1. Bundesliga,5.075,5.0-6.0 sec,Pressure,Ball Recovery,Bayer Leverkusen,Darmstadt 98,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,7,ambiguous,False
3895220_p80_dd4e712c,3895220,1. Bundesliga,7.644,6.0-8.0 sec,Duel,Pass,Bayer Leverkusen,Bayer Leverkusen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,8,invalid,False
3895292_p53_6bd4ee66,3895292,1. Bundesliga,5.699,5.0-6.0 sec,Pressure,Clearance,Bayer Leverkusen,Union Berlin,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,5,ambiguous,False
3895292_p162_f2b442db,3895292,1. Bundesliga,6.213,6.0-8.0 sec,Pressure,Goal Keeper,Bayer Leverkusen,Union Berlin,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,5,invalid,False
3895292_p163_534f802d,3895292,1. Bundesliga,5.542,5.0-6.0 sec,Interception,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,6,invalid,False
3895158_p3_f1d9e1ca,3895158,1. Bundesliga,6.26,6.0-8.0 sec,Interception,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,15,invalid,False
3895158_p124_64687941,3895158,1. Bundesliga,7.567,6.0-8.0 sec,Pressure,Duel,Bayer Leverkusen,Bayer Leverkusen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,6,invalid,False
3895107_p71_0fbc2e16,3895107,1. Bundesliga,5.494,5.0-6.0 sec,50/50,Pressure,Bayer Leverkusen,FC Köln,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,9,ambiguous,False
3895107_p76_50f9c656,3895107,1. Bundesliga,5.606,5.0-6.0 sec,Duel,Pass,FC Köln,FC Köln,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,8,ambiguous,False
3895107_p91_2659c4c2,3895107,1. Bundesliga,5.964,5.0-6.0 sec,Interception,Ball Receipt*,FC Köln,FC Köln,D,Ambiguous timestamp/simultaneous event sequence,10,invalid,False
3895107_p130_bbdb538b,3895107,1. Bundesliga,6.41,6.0-8.0 sec,Pressure,Clearance,FC Köln,Bayer Leverkusen,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,5,invalid,False
3895107_p146_5b1d2528,3895107,1. Bundesliga,7.438,6.0-8.0 sec,Interception,Ball Receipt*,FC Köln,FC Köln,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895086_p25_05ea25c6,3895086,1. Bundesliga,7.977,6.0-8.0 sec,Pressure,Clearance,Bayer Leverkusen,FC Heidenheim,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,10,invalid,False
3895086_p123_5e900437,3895086,1. Bundesliga,7.887,6.0-8.0 sec,Interception,Ball Receipt*,FC Heidenheim,FC Heidenheim,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895086_p153_14ee07ac,3895086,1. Bundesliga,6.967,6.0-8.0 sec,Pass,Dribble,FC Heidenheim,FC Heidenheim,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895086_p168_4e66f94b,3895086,1. Bundesliga,7.213,6.0-8.0 sec,Interception,Ball Receipt*,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895250_p45_7d909078,3895250,1. Bundesliga,5.302,5.0-6.0 sec,Dribbled Past,Clearance,Bayer Leverkusen,Bayer Leverkusen,A,Turnover detector linked to earlier action in chain or pass flight boundary,4,ambiguous,False
3895250_p57_c9857c32,3895250,1. Bundesliga,5.402,5.0-6.0 sec,Interception,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,6,invalid,False
3895250_p58_a95d06e0,3895250,1. Bundesliga,7.685,6.0-8.0 sec,Duel,Ball Receipt*,FSV Mainz 05,FSV Mainz 05,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,19,invalid,False
3895250_p92_c52be825,3895250,1. Bundesliga,6.246,6.0-8.0 sec,Pass,Pass,FSV Mainz 05,FSV Mainz 05,D,Ambiguous timestamp/simultaneous event sequence,9,invalid,False
3895250_p134_82b60388,3895250,1. Bundesliga,7.059,6.0-8.0 sec,Pressure,Clearance,FSV Mainz 05,Bayer Leverkusen,A,Turnover detector linked to earlier action in chain or pass flight boundary,4,invalid,False
3895250_p142_073a60a3,3895250,1. Bundesliga,6.376,6.0-8.0 sec,Pressure,Clearance,Bayer Leverkusen,FSV Mainz 05,A,Turnover detector linked to earlier action in chain or pass flight boundary,3,invalid,False
3895309_p21_4c374d5a,3895309,1. Bundesliga,6.149,6.0-8.0 sec,Interception,Pass,Borussia Dortmund,Borussia Dortmund,D,Ambiguous timestamp/simultaneous event sequence,6,invalid,False
3895309_p26_9d5b2200,3895309,1. Bundesliga,7.93,6.0-8.0 sec,Interception,Block,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895309_p30_65bafc50,3895309,1. Bundesliga,7.146,6.0-8.0 sec,Duel,Pass,Bayer Leverkusen,Bayer Leverkusen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,8,invalid,False
3895309_p43_6a89f48f,3895309,1. Bundesliga,7.867,6.0-8.0 sec,Pass,Ball Receipt*,Bayer Leverkusen,Bayer Leverkusen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,12,invalid,False
3895309_p79_0af7268b,3895309,1. Bundesliga,7.386,6.0-8.0 sec,Pressure,Ball Recovery,Borussia Dortmund,Borussia Dortmund,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,6,invalid,False
3895309_p88_da02b16f,3895309,1. Bundesliga,7.14,6.0-8.0 sec,Pressure,Ball Recovery,Bayer Leverkusen,Bayer Leverkusen,A,Turnover detector linked to earlier action in chain or pass flight boundary,4,invalid,False
3895309_p89_eda85659,3895309,1. Bundesliga,5.905,5.0-6.0 sec,Block,Pass,Borussia Dortmund,Borussia Dortmund,D,Ambiguous timestamp/simultaneous event sequence,6,invalid,False
3895309_p95_80204ac0,3895309,1. Bundesliga,6.745,6.0-8.0 sec,Interception,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,9,invalid,False
3895309_p124_bae9d3b9,3895309,1. Bundesliga,6.668,6.0-8.0 sec,Pressure,Block,Bayer Leverkusen,Borussia Dortmund,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,5,invalid,False
3895139_p10_a1a68f56,3895139,1. Bundesliga,7.53,6.0-8.0 sec,Duel,Ball Receipt*,Union Berlin,Union Berlin,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,12,invalid,False
3895139_p13_f1f53f34,3895139,1. Bundesliga,7.686,6.0-8.0 sec,Pass,Ball Receipt*,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895139_p51_13a63b53,3895139,1. Bundesliga,7.212,6.0-8.0 sec,Interception,Ball Receipt*,Union Berlin,Union Berlin,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895139_p75_d55a455f,3895139,1. Bundesliga,7.126,6.0-8.0 sec,Pass,Pass,Union Berlin,Union Berlin,D,Ambiguous timestamp/simultaneous event sequence,9,invalid,False
3895139_p109_09cd0246,3895139,1. Bundesliga,6.754,6.0-8.0 sec,Duel,Pass,Bayer Leverkusen,Bayer Leverkusen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,8,invalid,False
3895074_p37_630bb15d,3895074,1. Bundesliga,5.024,5.0-6.0 sec,Duel,Pass,Bayer Leverkusen,Bayer Leverkusen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,8,ambiguous,False
3895074_p57_30c1c69f,3895074,1. Bundesliga,7.16,6.0-8.0 sec,Interception,Ball Receipt*,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895074_p64_5a212df7,3895074,1. Bundesliga,5.187,5.0-6.0 sec,Pass,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,9,invalid,False
3895074_p69_ee3174ba,3895074,1. Bundesliga,7.557,6.0-8.0 sec,Pressure,Block,Bayer Leverkusen,Bayer Leverkusen,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,5,invalid,False
3895074_p74_6daf5191,3895074,1. Bundesliga,5.55,5.0-6.0 sec,Pressure,Block,Bayern Munich,Bayer Leverkusen,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,5,ambiguous,False
3895074_p79_7f9057a1,3895074,1. Bundesliga,7.829,6.0-8.0 sec,Duel,Ball Receipt*,Bayern Munich,Bayern Munich,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,13,invalid,False
3895074_p82_8d285174,3895074,1. Bundesliga,7.21,6.0-8.0 sec,Pass,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895074_p98_8af7c452,3895074,1. Bundesliga,6.637,6.0-8.0 sec,Pass,Pass,Bayern Munich,Bayern Munich,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895074_p105_30d94ae7,3895074,1. Bundesliga,5.659,5.0-6.0 sec,Pass,Pass,Bayern Munich,Bayern Munich,D,Ambiguous timestamp/simultaneous event sequence,9,ambiguous,False
3895074_p108_a872feba,3895074,1. Bundesliga,7.596,6.0-8.0 sec,Duel,Ball Receipt*,Bayern Munich,Bayern Munich,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,10,invalid,False
3895074_p111_c1714b22,3895074,1. Bundesliga,5.783,5.0-6.0 sec,Pass,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,5,invalid,False
3895074_p149_658a05c7,3895074,1. Bundesliga,5.851,5.0-6.0 sec,Duel,Pass,Bayer Leverkusen,Bayer Leverkusen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,9,invalid,False
3895074_p153_e8eeeb2f,3895074,1. Bundesliga,6.431,6.0-8.0 sec,Pressure,Duel,Bayern Munich,Bayer Leverkusen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,5,invalid,False
3895074_p155_a53b336b,3895074,1. Bundesliga,5.038,5.0-6.0 sec,Pressure,Block,Bayern Munich,Bayer Leverkusen,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,5,ambiguous,False
3895194_p55_9783cceb,3895194,1. Bundesliga,6.537,6.0-8.0 sec,Pressure,Ball Recovery,Bayer Leverkusen,Bayer Leverkusen,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,6,invalid,False
3895194_p91_0d01b8f7,3895194,1. Bundesliga,7.595,6.0-8.0 sec,Interception,Pass,Augsburg,Augsburg,D,Ambiguous timestamp/simultaneous event sequence,15,invalid,False
3895194_p140_a1639494,3895194,1. Bundesliga,7.689,6.0-8.0 sec,Interception,Pass,Augsburg,Augsburg,D,Ambiguous timestamp/simultaneous event sequence,12,invalid,False
3895095_p37_117716d3,3895095,1. Bundesliga,5.032,5.0-6.0 sec,Pass,Block,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,6,ambiguous,False
3895095_p55_dd7f7e2d,3895095,1. Bundesliga,7.726,6.0-8.0 sec,Interception,Ball Receipt*,FSV Mainz 05,FSV Mainz 05,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895095_p59_1e6b8f46,3895095,1. Bundesliga,7.692,6.0-8.0 sec,Interception,Pass,FSV Mainz 05,FSV Mainz 05,D,Ambiguous timestamp/simultaneous event sequence,9,invalid,False
3895095_p120_f415ef10,3895095,1. Bundesliga,5.307,5.0-6.0 sec,Interception,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,9,ambiguous,False
3895167_p57_d4a594dc,3895167,1. Bundesliga,7.677,6.0-8.0 sec,Interception,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,12,invalid,False
3895167_p59_7764e543,3895167,1. Bundesliga,6.44,6.0-8.0 sec,Duel,Pass,Bayer Leverkusen,Bayer Leverkusen,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,8,invalid,False
3895167_p63_2762e5df,3895167,1. Bundesliga,7.769,6.0-8.0 sec,Interception,Pass,VfB Stuttgart,VfB Stuttgart,D,Ambiguous timestamp/simultaneous event sequence,9,invalid,False
3895167_p86_3ec87947,3895167,1. Bundesliga,6.96,6.0-8.0 sec,Pass,Ball Receipt*,VfB Stuttgart,VfB Stuttgart,D,Ambiguous timestamp/simultaneous event sequence,13,invalid,False
3895167_p88_fd8afde6,3895167,1. Bundesliga,6.162,6.0-8.0 sec,Interception,Ball Receipt*,VfB Stuttgart,VfB Stuttgart,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895167_p105_7a2a25af,3895167,1. Bundesliga,7.301,6.0-8.0 sec,Pass,Pass,VfB Stuttgart,VfB Stuttgart,D,Ambiguous timestamp/simultaneous event sequence,8,invalid,False
3895167_p111_9fb6b99a,3895167,1. Bundesliga,5.521,5.0-6.0 sec,Pressure,Clearance,Bayer Leverkusen,VfB Stuttgart,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,8,ambiguous,False
3895167_p148_0136242b,3895167,1. Bundesliga,6.537,6.0-8.0 sec,Pressure,Ball Recovery,VfB Stuttgart,VfB Stuttgart,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,6,invalid,False
3895202_p15_e84f7e59,3895202,1. Bundesliga,7.403,6.0-8.0 sec,Interception,Ball Receipt*,RB Leipzig,RB Leipzig,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895202_p50_6239933c,3895202,1. Bundesliga,7.706,6.0-8.0 sec,Interception,Pass,RB Leipzig,RB Leipzig,D,Ambiguous timestamp/simultaneous event sequence,10,invalid,False
3895202_p57_38116434,3895202,1. Bundesliga,6.463,6.0-8.0 sec,Interception,Ball Receipt*,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895202_p150_c367cb26,3895202,1. Bundesliga,5.14,5.0-6.0 sec,Pressure,Clearance,RB Leipzig,RB Leipzig,A,Turnover detector linked to earlier action in chain or pass flight boundary,4,ambiguous,False
3857296_p19_2e1d02d3,3857296,FIFA World Cup,5.229,5.0-6.0 sec,Pressure,Block,Belgium,Croatia,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,6,ambiguous,False
3857296_p58_fd202c66,3857296,FIFA World Cup,7.178,6.0-8.0 sec,Interception,Pass,Belgium,Belgium,D,Ambiguous timestamp/simultaneous event sequence,13,invalid,False
3857296_p74_64d82d50,3857296,FIFA World Cup,7.557,6.0-8.0 sec,Pressure,Clearance,Belgium,Belgium,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,7,invalid,False
3857296_p94_c9e6f418,3857296,FIFA World Cup,6.707,6.0-8.0 sec,Pressure,Ball Recovery,Croatia,Croatia,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,6,invalid,False
3857296_p127_13486874,3857296,FIFA World Cup,7.67,6.0-8.0 sec,Interception,Pass,Belgium,Belgium,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895113_p11_c20ec538,3895113,1. Bundesliga,6.3,6.0-8.0 sec,Interception,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,9,invalid,False
3895113_p59_c898da1f,3895113,1. Bundesliga,7.456,6.0-8.0 sec,Interception,Ball Recovery,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895113_p64_9cba6183,3895113,1. Bundesliga,7.669,6.0-8.0 sec,Interception,Pass,Wolfsburg,Wolfsburg,D,Ambiguous timestamp/simultaneous event sequence,12,invalid,False
3895113_p66_4543b653,3895113,1. Bundesliga,6.001,6.0-8.0 sec,Pass,Pass,Bayer Leverkusen,Bayer Leverkusen,D,Ambiguous timestamp/simultaneous event sequence,10,invalid,False
3895113_p72_4a2fd5dd,3895113,1. Bundesliga,6.042,6.0-8.0 sec,Duel,Ball Receipt*,Wolfsburg,Wolfsburg,C,Multiple contested events (duels/50-50s) delayed clear possession establishment,13,invalid,False
3895113_p74_4812fa24,3895113,1. Bundesliga,5.091,5.0-6.0 sec,Pressure,Interception,Bayer Leverkusen,Wolfsburg,E,Opponent sustained possession with 4+ actions; genuinely unlinked within 5.0s,5,ambiguous,False
3895113_p82_d6534454,3895113,1. Bundesliga,6.686,6.0-8.0 sec,Interception,Ball Recovery,Wolfsburg,Wolfsburg,D,Ambiguous timestamp/simultaneous event sequence,11,invalid,False
3895113_p111_581c0c37,3895113,1. Bundesliga,6.914,6.0-8.0 sec,Pass,Ball Receipt*,Wolfsburg,Wolfsburg,D,Ambiguous timestamp/simultaneous event sequence,12,invalid,False
