episode_id,match_id,competition_name,period,counterpressing_team,possession_team,initiation_seconds,sample_stratum,first_ctrl_type,pathway_classification,v26_evidence,is_same_team_bug,human_transition_occurred,human_control_established,human_regain_within_5s,human_notes
3795506_p210_ebedc5a5,3795506,UEFA Euro,4,Italy,Italy,998.735,carry,Carry,opponent_miscontrol,carry_control,True,,,,
3795506_p200_3f2c0c2f,3795506,UEFA Euro,4,Italy,Italy,433.584,carry,Carry,contested_duel,carry_control,True,,,,
3795506_p195_232ce3d4,3795506,UEFA Euro,4,Italy,Italy,168.334,carry,Carry,contested_duel,carry_control,True,,,,
3794692_p86_8aa13bbc,3794692,UEFA Euro,2,Ukraine,Ukraine,542.705,carry,Carry,opponent_incomplete_pass,carry_control,True,,,,
3794692_p97_c6b5e57f,3794692,UEFA Euro,2,Sweden,Sweden,968.091,carry,Carry,contested_duel,carry_control,True,,,,
3794692_p108_df1cddf8,3794692,UEFA Euro,2,Ukraine,Ukraine,1412.454,carry,Carry,contested_duel,carry_control,True,,,,
3794692_p132_66cd77e5,3794692,UEFA Euro,2,Sweden,Sweden,2782.211,carry,Carry,contested_duel,carry_control,True,,,,
3788765_p9_4bc1bb1d,3788765,UEFA Euro,1,Turkey,Turkey,195.402,carry,Carry,opponent_incomplete_pass,carry_control,True,,,,
3794692_p154_2d00b8fb,3794692,UEFA Euro,4,Ukraine,Ukraine,173.838,carry,Carry,contested_duel,carry_control,True,,,,
3794692_p160_ccf69029,3794692,UEFA Euro,4,Ukraine,Ukraine,382.079,carry,Carry,contested_duel,carry_control,True,,,,
3795107_p139_ba902b68,3795107,UEFA Euro,2,Belgium,Belgium,2503.017,carry,Carry,contested_duel,carry_control,True,,,,
3795107_p129_1dec4643,3795107,UEFA Euro,2,Italy,Italy,2177.757,carry,Carry,opponent_incomplete_pass,carry_control,True,,,,
3795107_p116_3764f723,3795107,UEFA Euro,2,Italy,Italy,1270.94,carry,Carry,contested_duel,carry_control,True,,,,
3794686_p69_33576c99,3794686,UEFA Euro,1,Spain,Spain,2122.078,pass,Pass,contested_duel,completed_pass,True,,,,
3794686_p13_cb293cfb,3794686,UEFA Euro,1,Croatia,Croatia,445.88,pass,Pass,opponent_miscontrol,completed_pass,True,,,,
3794686_p14_94dd9018,3794686,UEFA Euro,1,Spain,Spain,449.872,pass,Pass,contested_duel,completed_pass,True,,,,
3794686_p102_c353f151,3794686,UEFA Euro,2,Croatia,Croatia,399.114,pass,Pass,opponent_incomplete_pass,completed_pass,True,,,,
3788764_p62_5659784e,3788764,UEFA Euro,1,Portugal,Germany,1852.241,pass,Pass,opponent_incomplete_pass,completed_pass,False,,,,
3788764_p100_51a86eae,3788764,UEFA Euro,2,Germany,Germany,570.785,pass,Pass,contested_duel,completed_pass,True,,,,
3794686_p182_206d419e,3794686,UEFA Euro,3,Spain,Spain,130.096,pass,Pass,opponent_miscontrol,completed_pass,True,,,,
3788766_p17_f26809c0,3788766,UEFA Euro,1,Wales,Wales,523.205,pass,Pass,contested_duel,completed_pass,True,,,,
3788766_p31_d2bd5681,3788766,UEFA Euro,1,Wales,Wales,921.607,pass,Pass,contested_duel,completed_pass,True,,,,
3794692_p140_42a963e2,3794692,UEFA Euro,3,Ukraine,Ukraine,846.636,pass,Pass,contested_duel,completed_pass,True,,,,
3794692_p59_c841f46f,3794692,UEFA Euro,1,Sweden,Sweden,2343.03,pass,Pass,opponent_incomplete_pass,completed_pass,True,,,,
3794692_p6_00199cb2,3794692,UEFA Euro,1,Ukraine,Ukraine,248.487,pass,Pass,opponent_incomplete_pass,completed_pass,True,,,,
3795107_p98_e3e10312,3795107,UEFA Euro,2,Italy,Italy,716.191,pass,Pass,opponent_incomplete_pass,completed_pass,True,,,,
3795107_p21_ad729421,3795107,UEFA Euro,1,Italy,Italy,562.785,pass,Pass,contested_duel,completed_pass,True,,,,
3795107_p17_cd94a01c,3795107,UEFA Euro,1,Belgium,Belgium,424.928,pass,Pass,contested_duel,completed_pass,True,,,,
3795107_p11_536c4bf1,3795107,UEFA Euro,1,Italy,Italy,206.001,pass,Pass,contested_duel,completed_pass,True,,,,
3788765_p17_d24e1957,3788765,UEFA Euro,1,Turkey,Turkey,560.937,pass,Pass,contested_duel,completed_pass,True,,,,
3788765_p128_0ad91d2e,3788765,UEFA Euro,2,Turkey,Turkey,1106.543,pass,Pass,contested_duel,completed_pass,True,,,,
3788765_p109_0088df76,3788765,UEFA Euro,2,Switzerland,Switzerland,479.685,pass,Pass,opponent_incomplete_pass,completed_pass,True,,,,
3788765_p100_108f557a,3788765,UEFA Euro,2,Turkey,Turkey,222.052,pass,Pass,opponent_incomplete_pass,completed_pass,True,,,,
3788765_p96_f1fec877,3788765,UEFA Euro,2,Turkey,Switzerland,137.907,pass,Pass,opponent_incomplete_pass,completed_pass,False,,,,
3788765_p43_dc378187,3788765,UEFA Euro,1,Switzerland,Switzerland,1149.262,pass,Pass,opponent_incomplete_pass,completed_pass,True,,,,
3788765_p25_39415b22,3788765,UEFA Euro,1,Turkey,Turkey,737.064,pass,Pass,opponent_incomplete_pass,completed_pass,True,,,,
3788766_p49_c725799d,3788766,UEFA Euro,1,Wales,Wales,1046.084,pass,Pass,opponent_miscontrol,completed_pass,True,,,,
3788769_p21_5202b9ee,3788769,UEFA Euro,1,Denmark,Denmark,440.763,pass,Pass,opponent_incomplete_pass,completed_pass,True,,,,
3788769_p40_01a87028,3788769,UEFA Euro,1,Russia,Russia,1019.701,pass,Pass,contested_duel,completed_pass,True,,,,
3788769_p123_852f2f78,3788769,UEFA Euro,2,Denmark,Denmark,1041.187,pass,Pass,contested_duel,completed_pass,True,,,,
3788747_p174_e1be0dd6,3788747,UEFA Euro,2,North Macedonia,North Macedonia,2267.521,pass,Pass,contested_duel,completed_pass,True,,,,
3788747_p148_01e2f8ec,3788747,UEFA Euro,2,Austria,Austria,1519.975,pass,Pass,contested_duel,completed_pass,True,,,,
3788747_p68_0f9d0863,3788747,UEFA Euro,1,Austria,North Macedonia,1827.607,pass,Pass,opponent_incomplete_pass,completed_pass,False,,,,
3794686_p31_bdbb6189,3794686,UEFA Euro,1,Spain,Spain,1004.054,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3794686_p67_9670e0af,3794686,UEFA Euro,1,Croatia,Croatia,2082.006,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3788764_p90_02f79b97,3788764,UEFA Euro,2,Portugal,Portugal,157.655,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3788762_p78_da8daf2d,3788762,UEFA Euro,2,Poland,Poland,4.948,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3788762_p30_6276c390,3788762,UEFA Euro,1,Poland,Poland,878.433,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3794692_p111_66c40651,3794692,UEFA Euro,2,Ukraine,Ukraine,1536.333,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3794692_p136_46e2607c,3794692,UEFA Euro,3,Ukraine,Ukraine,322.416,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3794692_p151_060a9107,3794692,UEFA Euro,4,Ukraine,Ukraine,103.015,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3794692_p53_328aaa85,3794692,UEFA Euro,1,Sweden,Sweden,2113.045,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3795107_p74_565273f4,3795107,UEFA Euro,1,Belgium,Belgium,2682.348,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3795107_p44_34f7b3d5,3795107,UEFA Euro,1,Belgium,Belgium,1497.68,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3788765_p13_b69c4d20,3788765,UEFA Euro,1,Switzerland,Switzerland,319.847,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3795506_p102_06a2e479,3795506,UEFA Euro,2,England,England,500.349,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3795506_p126_bc52fc8c,3795506,UEFA Euro,2,Italy,Italy,1615.043,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3788765_p132_9fdaa035,3788765,UEFA Euro,2,Switzerland,Switzerland,1170.604,ball_receipt,Ball Receipt*,contested_duel,controlled_ball_receipt,True,,,,
3788765_p96_999f4ff1,3788765,UEFA Euro,2,Switzerland,Switzerland,136.177,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3788769_p93_47a3beaa,3788769,UEFA Euro,2,Russia,Russia,196.843,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3788747_p183_b959a0a9,3788747,UEFA Euro,2,North Macedonia,North Macedonia,2531.59,ball_receipt,Ball Receipt*,contested_duel,controlled_ball_receipt,True,,,,
3788769_p97_1ce450ed,3788769,UEFA Euro,2,Denmark,Denmark,327.41700000000003,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3788741_p30_5b4d0ce1,3788741,UEFA Euro,1,Turkey,Turkey,752.222,ball_receipt,Ball Receipt*,opponent_incomplete_pass,controlled_ball_receipt,True,,,,
3893790_p87_4644ab81,3893790,Women's World Cup,2,Canada Women's,Canada Women's,90.802,dribble,Dribble,contested_duel,dribble_control,True,,,,
3802948_p50_f7594958,3802948,Ligue 1,1,Paris Saint-Germain,Paris Saint-Germain,1333.607,dribble,Dribble,contested_duel,dribble_control,True,,,,
3902967_p92_d75810ac,3902967,Women's World Cup,1,England Women's,England Women's,3056.279,shot,Shot,contested_duel,shot_control,True,,,,
3857298_p13_71ba7805,3857298,FIFA World Cup,1,Portugal,Portugal,345.714,shot,Shot,contested_duel,shot_control,True,,,,
3835321_p115_bed582ee,3835321,UEFA Women's Euro,2,Spain Women's,Spain Women's,989.26,shot,Shot,contested_duel,shot_control,True,,,,
3895333_p8_2dab9ebc,3895333,1. Bundesliga,1,Eintracht Frankfurt,Eintracht Frankfurt,114.477,other,Duel,opponent_dispossessed,duel_plus_carry,True,,,,
3794686_p37_3c14cf4f,3794686,UEFA Euro,1,Croatia,Croatia,1235.317,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3794686_p83_01d8a962,3794686,UEFA Euro,1,Spain,Spain,2640.118,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788764_p163_90656f0c,3788764,UEFA Euro,2,Portugal,Portugal,2887.716,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3794686_p88_77c2c7a6,3794686,UEFA Euro,2,Croatia,Croatia,12.493,other,Interception,opponent_incomplete_pass,interception_plus_control,True,,,,
3794686_p108_580c4358,3794686,UEFA Euro,2,Spain,Spain,616.032,other,Duel,opponent_dispossessed,duel_plus_pass,True,,,,
3794686_p11_e71ad0b9,3794686,UEFA Euro,1,Spain,Spain,331.325,other,Interception,opponent_incomplete_pass,interception_plus_control,True,,,,
3788764_p145_bae5b2c5,3788764,UEFA Euro,2,Portugal,Portugal,2387.146,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3930175_p80_ef2f30eb,3930175,UEFA Euro,1,Romania,Romania,2608.474,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788764_p64_80b35733,3788764,UEFA Euro,1,Germany,Germany,1951.742,other,Duel,opponent_dispossessed,duel_plus_pass,True,,,,
3788764_p10_6fc4e214,3788764,UEFA Euro,1,Germany,Germany,359.362,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788764_p15_b43631aa,3788764,UEFA Euro,1,Germany,Germany,551.267,other,Interception,opponent_incomplete_pass,interception_plus_control,True,,,,
3788764_p15_ae5ce844,3788764,UEFA Euro,1,Portugal,Germany,541.222,other,Goal Keeper,opponent_shot,goalkeeper_control,False,,,,
3788764_p38_d7a37961,3788764,UEFA Euro,1,Germany,Germany,985.491,other,Ball Recovery,opponent_incomplete_pass,ball_recovery_plus_carry,True,,,,
3788764_p40_2797ac23,3788764,UEFA Euro,1,Germany,Germany,1015.22,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788764_p87_0cbe27b7,3788764,UEFA Euro,2,Portugal,Portugal,101.718,other,Ball Recovery,other,ball_recovery_plus_carry,True,,,,
3788764_p93_441025ef,3788764,UEFA Euro,2,Portugal,Portugal,227.537,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788764_p94_98036583,3788764,UEFA Euro,2,Germany,Germany,244.578,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788764_p108_b6e53920,3788764,UEFA Euro,2,Germany,Germany,836.086,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788762_p110_41c06bd9,3788762,UEFA Euro,2,Spain,Spain,1141.887,other,Duel,opponent_failed_dribble,duel_plus_carry,True,,,,
3788762_p70_09e01bd8,3788762,UEFA Euro,1,Spain,Spain,2509.846,other,Duel,opponent_failed_dribble,duel_plus_carry,True,,,,
3788762_p71_3edef4a0,3788762,UEFA Euro,1,Poland,Poland,2516.306,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788762_p100_93593bbc,3788762,UEFA Euro,2,Spain,Spain,787.963,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788762_p103_0dc2b7c7,3788762,UEFA Euro,2,Poland,Spain,914.891,other,Duel,opponent_failed_dribble,duel_plus_carry,False,,,,
3788762_p104_904d8471,3788762,UEFA Euro,2,Poland,Poland,918.629,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788762_p120_c3b340f8,3788762,UEFA Euro,2,Spain,Spain,1623.737,other,Duel,opponent_dispossessed,duel_plus_carry,True,,,,
3788762_p147_fd75fca8,3788762,UEFA Euro,2,Poland,Spain,2621.004,other,Duel,opponent_failed_dribble,duel_plus_pass,False,,,,
3788766_p5_b4c397ea,3788766,UEFA Euro,1,Wales,Wales,133.986,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788762_p65_8d74503a,3788762,UEFA Euro,1,Poland,Poland,2415.486,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788762_p50_3dcd309c,3788762,UEFA Euro,1,Poland,Poland,1830.067,other,Duel,opponent_dispossessed,duel_plus_carry,True,,,,
3788762_p31_387a8d7c,3788762,UEFA Euro,1,Spain,Spain,885.753,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
3788762_p30_be12410c,3788762,UEFA Euro,1,Spain,Poland,881.133,other,Duel,opponent_failed_dribble,duel_plus_carry,False,,,,
3788762_p20_14467df2,3788762,UEFA Euro,1,Spain,Spain,582.26,other,Duel,opponent_failed_dribble,duel_plus_carry,True,,,,
3788762_p15_8690ffdc,3788762,UEFA Euro,1,Poland,Poland,317.306,other,Duel,opponent_dispossessed,duel_plus_carry,True,,,,
3788762_p8_c1af8a76,3788762,UEFA Euro,1,Spain,Spain,88.405,other,Ball Recovery,contested_duel,ball_recovery_plus_carry,True,,,,
